1	34
2	62
3	41
4	43
5	36
6	34
7	84
8	66
9	52
10	74
11	60
12	50
13	58
14	50
15	65
16	83
17	41
18	61
19	74
20	45
21	96
22	96
23	95
24	83
25	102
26	45
27	105
28	119
29	81
30	125
31	138
32	132
33	65
34	87
35	143
36	112
37	66
38	99
39	80
40	86
41	130
42	117
43	113
44	122
45	112
46	123
47	114
48	125
49	143
50	87
51	102
52	108
53	62
54	123
55	85
56	100
57	55
58	64
59	102
60	62
61	39
62	90
63	65
64	62
65	83
66	45
67	63
68	43
69	59
70	56
71	36
72	76
73	71
74	46
75	24
76	37
77	48
